event_time_ns,event_time,instrument_id,close,cash,position,realized_pnl,unrealized_pnl,equity
1717200000000000000,2024-06-01T00:00:00+00:00,BTCUSDT-PERP.BINANCE,67613.6,100000.0,0.0,0.0,0.0,100000.0
1717200900000000000,2024-06-01T00:15:00+00:00,BTCUSDT-PERP.BINANCE,67595.8,100000.0,0.0,0.0,0.0,100000.0
1717201800000000000,2024-06-01T00:30:00+00:00,BTCUSDT-PERP.BINANCE,67644.6,100000.0,0.0,0.0,0.0,100000.0
1717202700000000000,2024-06-01T00:45:00+00:00,BTCUSDT-PERP.BINANCE,67690.0,100000.0,0.0,0.0,0.0,100000.0
1717203600000000000,2024-06-01T01:00:00+00:00,BTCUSDT-PERP.BINANCE,67650.1,100000.0,0.0,0.0,0.0,100000.0
1717204500000000000,2024-06-01T01:15:00+00:00,BTCUSDT-PERP.BINANCE,67608.6,100000.0,0.0,0.0,0.0,100000.0
1717205400000000000,2024-06-01T01:30:00+00:00,BTCUSDT-PERP.BINANCE,67540.1,100000.0,0.0,0.0,0.0,100000.0
1717206300000000000,2024-06-01T01:45:00+00:00,BTCUSDT-PERP.BINANCE,67600.0,100000.0,0.0,0.0,0.0,100000.0
1717207200000000000,2024-06-01T02:00:00+00:00,BTCUSDT-PERP.BINANCE,67680.1,100000.0,0.0,0.0,0.0,100000.0
1717208100000000000,2024-06-01T02:15:00+00:00,BTCUSDT-PERP.BINANCE,67705.1,100000.0,0.0,0.0,0.0,100000.0
1717209000000000000,2024-06-01T02:30:00+00:00,BTCUSDT-PERP.BINANCE,67723.7,100000.0,0.0,0.0,0.0,100000.0
1717209900000000000,2024-06-01T02:45:00+00:00,BTCUSDT-PERP.BINANCE,67762.4,100000.0,0.0,0.0,0.0,100000.0
1717210800000000000,2024-06-01T03:00:00+00:00,BTCUSDT-PERP.BINANCE,67730.0,100000.0,0.0,0.0,0.0,100000.0
1717211700000000000,2024-06-01T03:15:00+00:00,BTCUSDT-PERP.BINANCE,67700.0,100000.0,0.0,0.0,0.0,100000.0
1717212600000000000,2024-06-01T03:30:00+00:00,BTCUSDT-PERP.BINANCE,67785.5,100000.0,0.0,0.0,0.0,100000.0
1717213500000000000,2024-06-01T03:45:00+00:00,BTCUSDT-PERP.BINANCE,67749.9,100000.0,0.0,0.0,0.0,100000.0
1717214400000000000,2024-06-01T04:00:00+00:00,BTCUSDT-PERP.BINANCE,67746.8,100000.0,0.0,0.0,0.0,100000.0
1717215300000000000,2024-06-01T04:15:00+00:00,BTCUSDT-PERP.BINANCE,67724.9,100000.0,0.0,0.0,0.0,100000.0
1717216200000000000,2024-06-01T04:30:00+00:00,BTCUSDT-PERP.BINANCE,67737.1,100000.0,0.0,0.0,0.0,100000.0
1717217100000000000,2024-06-01T04:45:00+00:00,BTCUSDT-PERP.BINANCE,67719.6,100000.0,0.0,0.0,0.0,100000.0
1717218000000000000,2024-06-01T05:00:00+00:00,BTCUSDT-PERP.BINANCE,67702.4,100000.0,0.0,0.0,0.0,100000.0
1717218900000000000,2024-06-01T05:15:00+00:00,BTCUSDT-PERP.BINANCE,67641.3,100000.0,0.0,0.0,0.0,100000.0
1717219800000000000,2024-06-01T05:30:00+00:00,BTCUSDT-PERP.BINANCE,67773.8,100000.0,0.0,0.0,0.0,100000.0
1717220700000000000,2024-06-01T05:45:00+00:00,BTCUSDT-PERP.BINANCE,67730.7,100000.0,0.0,0.0,0.0,100000.0
1717221600000000000,2024-06-01T06:00:00+00:00,BTCUSDT-PERP.BINANCE,67704.8,100000.0,0.0,0.0,0.0,100000.0
1717222500000000000,2024-06-01T06:15:00+00:00,BTCUSDT-PERP.BINANCE,67704.6,100000.0,0.0,0.0,0.0,100000.0
1717223400000000000,2024-06-01T06:30:00+00:00,BTCUSDT-PERP.BINANCE,67705.8,100000.0,0.0,0.0,0.0,100000.0
1717224300000000000,2024-06-01T06:45:00+00:00,BTCUSDT-PERP.BINANCE,67734.8,100000.0,0.0,0.0,0.0,100000.0
1717225200000000000,2024-06-01T07:00:00+00:00,BTCUSDT-PERP.BINANCE,67700.2,100000.0,0.0,0.0,0.0,100000.0
1717226100000000000,2024-06-01T07:15:00+00:00,BTCUSDT-PERP.BINANCE,67661.0,100000.0,0.0,0.0,0.0,100000.0
1717227000000000000,2024-06-01T07:30:00+00:00,BTCUSDT-PERP.BINANCE,67702.7,100000.0,0.0,0.0,0.0,100000.0
1717227900000000000,2024-06-01T07:45:00+00:00,BTCUSDT-PERP.BINANCE,67677.9,167644.06105,-1.0,0.0,0.0,99966.16105
1717228800000000000,2024-06-01T08:00:00+00:00,BTCUSDT-PERP.BINANCE,67677.4,167644.06105,-1.0,0.0,0.5,99966.66105
1717229700000000000,2024-06-01T08:15:00+00:00,BTCUSDT-PERP.BINANCE,67673.3,167644.06105,-1.0,0.0,4.6,99970.76105
1717230600000000000,2024-06-01T08:30:00+00:00,BTCUSDT-PERP.BINANCE,67769.1,167644.06105,-1.0,0.0,-91.2,99874.96105
1717231500000000000,2024-06-01T08:45:00+00:00,BTCUSDT-PERP.BINANCE,67753.4,167644.06105,-1.0,0.0,-75.5,99890.66105
1717232400000000000,2024-06-01T09:00:00+00:00,BTCUSDT-PERP.BINANCE,67748.6,99861.58675,0.0,-70.7,0.0,99861.58675
1717233300000000000,2024-06-01T09:15:00+00:00,BTCUSDT-PERP.BINANCE,67709.1,99861.58675,0.0,-70.7,0.0,99861.58675
1717234200000000000,2024-06-01T09:30:00+00:00,BTCUSDT-PERP.BINANCE,67740.7,99861.58675,0.0,-70.7,0.0,99861.58675
1717235100000000000,2024-06-01T09:45:00+00:00,BTCUSDT-PERP.BINANCE,67753.8,99861.58675,0.0,-70.7,0.0,99861.58675
1717236000000000000,2024-06-01T10:00:00+00:00,BTCUSDT-PERP.BINANCE,67773.4,99861.58675,0.0,-70.7,0.0,99861.58675
1717236900000000000,2024-06-01T10:15:00+00:00,BTCUSDT-PERP.BINANCE,67712.8,99861.58675,0.0,-70.7,0.0,99861.58675
1717237800000000000,2024-06-01T10:30:00+00:00,BTCUSDT-PERP.BINANCE,67732.5,99861.58675,0.0,-70.7,0.0,99861.58675
1717238700000000000,2024-06-01T10:45:00+00:00,BTCUSDT-PERP.BINANCE,67670.0,99861.58675,0.0,-70.7,0.0,99861.58675
1717239600000000000,2024-06-01T11:00:00+00:00,BTCUSDT-PERP.BINANCE,67725.9,99861.58675,0.0,-70.7,0.0,99861.58675
1717240500000000000,2024-06-01T11:15:00+00:00,BTCUSDT-PERP.BINANCE,67713.0,99861.58675,0.0,-70.7,0.0,99861.58675
1717241400000000000,2024-06-01T11:30:00+00:00,BTCUSDT-PERP.BINANCE,67727.9,99861.58675,0.0,-70.7,0.0,99861.58675
1717242300000000000,2024-06-01T11:45:00+00:00,BTCUSDT-PERP.BINANCE,67704.0,99861.58675,0.0,-70.7,0.0,99861.58675
1717243200000000000,2024-06-01T12:00:00+00:00,BTCUSDT-PERP.BINANCE,67747.1,167574.8132,-1.0,-70.7,0.0,99827.7132
1717244100000000000,2024-06-01T12:15:00+00:00,BTCUSDT-PERP.BINANCE,67764.4,99776.531,0.0,-88.0,0.0,99776.531
1717245000000000000,2024-06-01T12:30:00+00:00,BTCUSDT-PERP.BINANCE,67780.0,99776.531,0.0,-88.0,0.0,99776.531
1717245900000000000,2024-06-01T12:45:00+00:00,BTCUSDT-PERP.BINANCE,67757.2,99776.531,0.0,-88.0,0.0,99776.531
1717246800000000000,2024-06-01T13:00:00+00:00,BTCUSDT-PERP.BINANCE,67835.3,99776.531,0.0,-88.0,0.0,99776.531
1717247700000000000,2024-06-01T13:15:00+00:00,BTCUSDT-PERP.BINANCE,67823.4,99776.531,0.0,-88.0,0.0,99776.531
1717248600000000000,2024-06-01T13:30:00+00:00,BTCUSDT-PERP.BINANCE,67799.0,99776.531,0.0,-88.0,0.0,99776.531
1717249500000000000,2024-06-01T13:45:00+00:00,BTCUSDT-PERP.BINANCE,67760.0,99776.531,0.0,-88.0,0.0,99776.531
1717250400000000000,2024-06-01T14:00:00+00:00,BTCUSDT-PERP.BINANCE,67796.1,99776.531,0.0,-88.0,0.0,99776.531
1717251300000000000,2024-06-01T14:15:00+00:00,BTCUSDT-PERP.BINANCE,67840.0,99776.531,0.0,-88.0,0.0,99776.531
1717252200000000000,2024-06-01T14:30:00+00:00,BTCUSDT-PERP.BINANCE,67852.0,99776.531,0.0,-88.0,0.0,99776.531
1717253100000000000,2024-06-01T14:45:00+00:00,BTCUSDT-PERP.BINANCE,67841.1,99776.531,0.0,-88.0,0.0,99776.531
1717254000000000000,2024-06-01T15:00:00+00:00,BTCUSDT-PERP.BINANCE,67795.7,99776.531,0.0,-88.0,0.0,99776.531
1717254900000000000,2024-06-01T15:15:00+00:00,BTCUSDT-PERP.BINANCE,67806.1,99776.531,0.0,-88.0,0.0,99776.531
1717255800000000000,2024-06-01T15:30:00+00:00,BTCUSDT-PERP.BINANCE,67824.5,99776.531,0.0,-88.0,0.0,99776.531
1717256700000000000,2024-06-01T15:45:00+00:00,BTCUSDT-PERP.BINANCE,67728.2,99776.531,0.0,-88.0,0.0,99776.531
1717257600000000000,2024-06-01T16:00:00+00:00,BTCUSDT-PERP.BINANCE,67717.0,99776.531,0.0,-88.0,0.0,99776.531
1717258500000000000,2024-06-01T16:15:00+00:00,BTCUSDT-PERP.BINANCE,67758.0,167500.652,-1.0,-88.0,0.0,99742.652
