instrument_id,side,quantity,entry_time_ns,entry_time,exit_time_ns,exit_time,entry_price,exit_price,realized_pnl,win
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717322400000000000,2024-06-02T10:00:00+00:00,1717329600000000000,2024-06-02T12:00:00+00:00,67577.4,67979.4,-402.0,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717372800000000000,2024-06-03T00:00:00+00:00,1717380000000000000,2024-06-03T02:00:00+00:00,67863.6,68460.4,-596.8,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717704000000000000,2024-06-06T20:00:00+00:00,1717740000000000000,2024-06-07T06:00:00+00:00,70767.9,71298.5,-530.6,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717783200000000000,2024-06-07T18:00:00+00:00,1717941600000000000,2024-06-09T14:00:00+00:00,69186.5,69513.0,-326.5,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1718002800000000000,2024-06-10T07:00:00+00:00,1718035200000000000,2024-06-10T16:00:00+00:00,69325.3,69998.9,-673.6,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1718071200000000000,2024-06-11T02:00:00+00:00,1718193600000000000,2024-06-12T12:00:00+00:00,68285.8,69340.1,-1054.3,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1718607600000000000,2024-06-17T07:00:00+00:00,1718650800000000000,2024-06-17T19:00:00+00:00,66147.3,66661.4,-514.1,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1718676000000000000,2024-06-18T02:00:00+00:00,1718863200000000000,2024-06-20T06:00:00+00:00,65432.5,65438.1,-5.6,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1718899200000000000,2024-06-20T16:00:00+00:00,1719108000000000000,2024-06-23T02:00:00+00:00,64863.9,64480.0,383.9,True
BTCUSDT-PERP.BINANCE,SHORT,1.0,1719151200000000000,2024-06-23T14:00:00+00:00,1719331200000000000,2024-06-25T16:00:00+00:00,64166.5,61358.6,2807.9,True
BTCUSDT-PERP.BINANCE,SHORT,1.0,1719590400000000000,2024-06-28T16:00:00+00:00,1719662400000000000,2024-06-29T12:00:00+00:00,60926.9,61049.9,-123.0,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1719712800000000000,2024-06-30T02:00:00+00:00,1719734400000000000,2024-06-30T08:00:00+00:00,60831.6,61550.5,-718.9,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1719914400000000000,2024-07-02T10:00:00+00:00,1720209600000000000,2024-07-05T20:00:00+00:00,62715.6,56327.3,6388.3,True
