instrument_id,side,quantity,entry_time_ns,entry_time,exit_time_ns,exit_time,entry_price,exit_price,realized_pnl,win
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717227900000000000,2024-06-01T07:45:00+00:00,1717232400000000000,2024-06-01T09:00:00+00:00,67677.9,67748.6,-70.7,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717243200000000000,2024-06-01T12:00:00+00:00,1717244100000000000,2024-06-01T12:15:00+00:00,67747.1,67764.4,-17.3,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717258500000000000,2024-06-01T16:15:00+00:00,1717264800000000000,2024-06-01T18:00:00+00:00,67758.0,67787.7,-29.7,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717296300000000000,2024-06-02T02:45:00+00:00,1717302600000000000,2024-06-02T04:30:00+00:00,67764.2,67876.0,-111.8,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717352100000000000,2024-06-02T18:15:00+00:00,1717377300000000000,2024-06-03T01:15:00+00:00,67630.9,68263.0,-632.1,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717479000000000000,2024-06-04T05:30:00+00:00,1717505100000000000,2024-06-04T12:45:00+00:00,69036.0,68989.5,46.5,True
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717582500000000000,2024-06-05T10:15:00+00:00,1717588800000000000,2024-06-05T12:00:00+00:00,70825.6,70895.8,-70.2,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717590600000000000,2024-06-05T12:30:00+00:00,1717591500000000000,2024-06-05T12:45:00+00:00,71072.8,70992.4,80.4,True
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717596000000000000,2024-06-05T14:00:00+00:00,1717601400000000000,2024-06-05T15:30:00+00:00,70500.0,71596.3,-1096.3,False
BTCUSDT-PERP.BINANCE,SHORT,1.0,1717693200000000000,2024-06-06T17:00:00+00:00,1717733700000000000,2024-06-07T04:15:00+00:00,71035.5,71198.0,-162.5,False
